target_x,target_y,pupil_x,pupil_y
-0.04,0.17,1.65632206693277,-15.700323308612
-0.04,0.185,1.64977505764441,-14.3670697074119
-0.04,0.2,1.6460279130215,-13.0228598683008
-0.04,0.215,1.64509202063826,-11.6704950819006
-0.04,0.23,1.64696090415295,-10.3128326987785
-0.04,0.245,1.6516103529996,-8.95275492045455
-0.04,0.26,1.65899886861836,-7.59313732315831
-0.04,0.275,1.66906841129803,-6.23681791842787
-0.04,0.29,1.68174542217559,-4.88656751909087
-0.04,0.305,1.69694208545067,-3.54506211390904
-0.04,0.32,1.71455778948846,-2.21485785384656
-0.04,0.335,1.7344807399946,-0.898369139161458
-0.04,0.35,1.75658967853593,0.402149841586843
-0.02,0.05,3.59165126704223,-25.6565204067186
-0.02,0.065,3.57639297118062,-24.49647759906
-0.02,0.08,3.56230352975523,-23.3081049774715
-0.02,0.095,3.5494487816589,-22.0928967616112
-0.02,0.11,3.5378896177935,-20.8525640997015
-0.02,0.125,3.52768107790666,-19.5890279266722
-0.02,0.14,3.51887150086766,-18.3044077241742
-0.02,0.155,3.51150175169011,-17.0010062033292
-0.02,0.17,3.50560455058839,-15.6812900787793
